Lugar,Latitud,Longitud
Cancha La Tinaja,6.21375996619463,-75.59820001479238
Cancha Polideportiva Sucre,6.246281918138266,-75.55112003814429
Aeroparque Juan Pablo Segundo,6.216999990865588,-75.56700001470745
Ampliacion La Honda,6.216999990865588,-75.56700001470745
Aula Amb América,6.252043973654509,-75.59845000505447
Bello Oriente Sector Palomar,6.216999990865588,-75.56700001470745
Biblioteca Manuel Mejia,6.247339965775609,-75.94570001587272
Cai El Salado,6.233999999240041,-75.61200002208352
Cancha Alfonso Lopez,6.21375996619463,-75.61634000390768
Cancha Belén Alpes,6.21375996619463,-75.59816003311425
Cancha Belén Playas,6.233999999240041,-75.59816003311425
Cancha De Arena El Manzanillo,6.206598971039057,-75.61379001941532
Cancha De Futbol Arenilla Buena Vista,6.216999990865588,-75.56700001470745
Cancha De Futbol El Rompoy Popular N1,6.216999990865588,-75.56700001470745
Cancha El Compromiso,6.213429970666766,-75.59670003131032
Cancha Grande San Joaquin,6.769999992102385,-75.5687000323087
Cancha Gratamira,6.21375996619463,-75.60391001868993
Cancha JoseBetancur,6.289777960628271,-75.5818400066346
Cancha La Isla,6.301722927019,-75.55067403707653
Cancha La Loma,6.27282396890223,-75.62541001942009
Cancha La Lopez,6.21373993344605,-75.56730000302196
Cancha La María,6.27282396890223,-75.62541001942009
Cancha La Toscana,6.21375996619463,-75.61200002208352
Cancha Los Rieles,6.2931939214468,-75.56715403217822
Cancha Mansion Gym,6.21375996619463,-75.59816003311425
Cancha Polideportiva Cubierta La Libertad,6.243690988048911,-75.57954403571784
Cancha Sintetica Horizontes,6.216999990865588,-75.56700001470745
Cancha Sintetica Las Esmeraldas,6.216999990865588,-75.56700001470745
Cancha Sintética Villa del Socorro,6.2953899800777435,-75.55360003374517
Cancha Trinidad,6.216999990865588,-75.56700001470745
Casa de Gobierno San Antonio de Prado,6.185032920911908,-75.65815002657473
Casa de Gobierno San Cristobal,6.216999990865588,-75.56700001470745
Casa De Justicia 20 De Julio,6.253306958824396,-75.62452002894133
Casa De Justicia Santo Domingo,6.216999990865588,-75.56700001470745
Casa De La Cultura Avila,6.216999990865588,-75.56700001470745
Casa De La Cultura Pedregal,6.3007809687405825,-75.57626000605524
Cementerio_San_Pedro_2,6.233999999240041,-75.61200002208352
Centralidad Pesebre,6.272089965641499,-75.59588002972305
Centro Comercial Bazar San Antonio,6.246986920014024,-75.56825000792742
Centro Comercial Juananbu,6.21375996619463,-75.61640001833439
Centro Comercial Quincaya,6.247207950800657,-75.56715403217822
Centro Cultural de Moravia,6.216999990865588,-75.56700001470745
Centro de Integracion Afrocolombiano,6.216999990865588,-75.56700001470745
Centro De Salud Alfonso Lopez,6.216999990865588,-75.56700001470745
Centro De Salud Belen Rincon,6.216999990865588,-75.56700001470745
Centro De Salud Guayabal,6.201225919649005,-75.59114002157003
Centro De Salud La Cruz,6.270107980817556,-75.5389600340277
Centro De Salud La Esperanza,6.216999990865588,-75.56700001470745
Centro De Salud Manantial De Vida,6.274315947666764,-75.60767001472414
Centro De Salud Pablo Vi,6.216999990865588,-75.56700001470745
Centro De Salud San Camilo,6.288622934371233,-75.58740001637489
Centro De Salud San Lorenzo,6.240051984786987,-75.56813002098352
Centro De Salud Santo Domingo Savio,6.294606942683458,-75.54262502118945
Centro De Salud Villatina,6.2374829314649105,-75.54373000748456
Centro De Servicios El Estadio vacio,6.265921974554658,-75.59506002813578
Centro De Servicios Robledo,6.278232978656888,-75.59694000519812
Cerro El Volador,6.216999990865588,-75.56700001470745
Cerro Nutibara Pueblito Paisa,6.216999990865588,-75.56700001470745
Coliseo Carlos Mauro Hoyos,6.216999990865588,-75.56700001470745
Coliseo de Voleibol Yesid Santos,6.2554149236530066,-75.59035002719611
Coliseo Ivan De Bedout,6.216999990865588,-75.56700001470745
Complejo Acuatico,6.2549269292503595,-75.59093500021845
CVS Belen,6.223637955263257,-75.59776000678539
CVS Castilla,6.299363924190402,-75.56650502141565
CVS Manrique,6.262471983209252,-75.55366503540426
CVS Popular,6.293153939768672,-75.54227000568062
CVS San Antonio Prado,6.293153939768672,-75.54227000568062
CVS San Cristobal,6.278072968125343,-75.63453003298491
CVS Villa Hermosa,6.251033954322338,-75.55405403953046
Desarrollo Integral El Socorro,6.216999990865588,-75.56700001470745
Dllo Belen Rincon,6.212917920202017,-75.60062003787607
Estacion Acevedo Metro,6.216999990865588,-75.56700001470745
Estación Estadio,6.216999990865588,-75.56700001470745
Estación Gardel Metroplu,6.267699943855405,-75.5550000211224
Estacion Industriales L1 Metroplus,6.216999990865588,-75.56700001470745
Estacion Metro Caribe Norte,6.216999990865588,-75.56700001470745
Estación Metrocable Doce de Octubre,6.216999990865588,-75.56700001470745
Estación Parque Berrio Metro AP1,6.216999990865588,-75.56700001470745
Estacion Poblado Metro,6.216999990865588,-75.56700001470745
Estacion San Javier J Metrocable,6.216999990865588,-75.56700001470745
Estacion Villa Sierra Metrocable,6.216999990865588,-75.56700001470745
Hospital Infantil Concejo De Medellin,6.216999990865588,-75.56700001470745
Jardin Botanico,6.216999990865588,-75.56700001470745
La Cruz,6.216999990865588,-75.56700001470745
La Honda,6.216999990865588,-75.56700001470745
La Playa Teatro Pablo Tobon,6.216999990865588,-75.56700001470745
Mascerca Belen,6.216999990865588,-75.56700001470745
Mascerca Castilla,6.216999990865588,-75.56700001470745
Mascerca La Floresta,6.259279986843467,-75.60670001897961
Parque Alfonso López,6.2842619977891445,-75.57611001189798
Parque Arvi - Centro Ambiental Y Cultural Parque Arvi,6.216999990865588,-75.56700001470745
Parque Belalcazar,6.222889954224229,-75.60391001868993
Parque Belen La Nubia,6.222889954224229,-75.60391001868993
Parque Berrio M,6.216999990865588,-75.56700001470745
Parque Bicentenario,6.24661099165678,-75.55734003894031
Parque Campo Alegre La Jota,6.216999990865588,-75.56700001470745
Parque Caunces De Oriente,6.216999990865588,-75.56700001470745
Parque de Boston,6.248240936547518,-75.55743400007486
Parque De La Vida,6.265450995415449,-75.58938003145158
Parque de Los Pies Descalzos,6.244769990444183,-75.57769000064582
Parque Del Viento,6.216999990865588,-75.56700001470745
Parque Deportivo Y Recreativo La Tinajita,6.216999990865588,-75.56700001470745
Parque Diego Echavarria,6.21375996619463,-75.59816003311425
Parque Explora,6.216999990865588,-75.56700001470745
Parque Fe y Alegría,6.216999990865588,-75.56700001470745
Parque Florencia,6.216999990865588,-75.56700001470745
Parque Girardot,6.21375996619463,-75.59816003311425
Parque Kennedy,6.289777960628271,-75.5818400066346
Parque La Castellana,6.23934798873961,-75.60760002583265
Parque La Mota,6.21375996619463,-75.59816003311425
Parque La Paz,6.21375996619463,-75.60391001868993
Parque la Piñuela,6.279092961922288,-75.55723002646118
Parque Las Tinajas,6.216999990865588,-75.56700001470745
Parque Lleras Sur,6.208899971097708,-75.56805001571774
Parque Loreto,6.232382962480187,-75.55839003995061
Parque Los Abuelos,6.247229995205998,-75.61279001645744
Parque Los Bomberos,6.21375996619463,-75.56715403217822
Parque Lourdes,6.216999990865588,-75.56700001470745
Parque Madre Laura Aranjuez,6.213399963453412,-75.56713001802564
Parque Malibu,6.21375996619463,-75.59816003311425
Parque Pablo Vi,6.303174924105406,-75.55507001001388
Parque Plan Parcial Invatex,6.247207950800657,-75.61200002208352
Parque Principal Campo Valdes,6.216999990865588,-75.56700001470745
Parque Principal San Antonio De Prado,6.184946922585368,-75.65639502368867
Parque Principal San Cristóbal,4.573316993191838,-74.0858700312674
Parque San Antonio,6.246088966727257,-75.56749002076685
Parque San Pablo,6.216999990865588,-75.56700001470745
Parque Santa Elena,6.216999990865588,-75.56700001470745
Parque Suramericana,6.256928946822882,-75.58433500584215
Parque Unicentro,6.2931939214468,-75.56715403217822
Parque Villa del Socorro,6.222889954224229,-75.60391001868993
Parques del Rio,6.216999990865588,-75.56700001470745
Parques del Río 1B Sur,6.24375494197011,-75.57957001961768
Pasaje La Bastilla x Av La Playa,6.216999990865588,-75.56700001470745
Patinaje 12Octubre,6.21375996619463,-75.59820001479238
Perpetuo Socorro,6.216999990865588,-75.56700001470745
Pista de Bicicros Antonio Roldan Betancur,6.216999990865588,-75.56700001470745
PL Carlos E Restrepo,6.209999928250909,-75.56700001470745
Placa Cristobal,6.250718962401152,-75.6137540191412
Placa Cubierta La Sierra,6.216999990865588,-75.56700001470745
Placa Divino Niño,6.255349963903427,-75.6284300191328
Placa Metropolitana,6.26349993981421,-75.60760002583265
Placa Moravia,6.28068694844842,-75.56678003165871
Placa Polideportiva Don Bosco,6.292044930160046,-75.5959100369364
Placa Polideportiva La Pastora,6.229896973818541,-75.54267003200948
Placa Polideportiva Trinidad,6.216999990865588,-75.56700001470745
Placita de Flores,6.21375996619463,-75.61640001833439
Plazoleta Colinas De Enciso Parte Alta,6.216999990865588,-75.56700001470745
Plazoleta Entre Ie Antonio Derka Y La Ie Santo Domingo Savio,6.297048926353455,-75.53879503626376
Plazoleta Estacion Santo Domingo Metrocable,6.216999990865588,-75.56700001470745
Plazoleta Granizal,6.216999990865588,-75.56700001470745
Plazoleta Iglesia San José,6.216999990865588,-75.56700001470745
Plazoleta Trece De Noviembre,6.216999990865588,-75.56700001470745
PQ Banderas Tricent,6.21375996619463,-75.5964000010863
Pruebas Laboratorio Meraki,6.216999990865588,-75.56700001470745
Pueblito Paisa,6.293119993060827,-75.61245000455528
Registraduria Bombona,6.244886917993426,-75.56300000287592
Secretaria de Movilidad Oficina Castilla,6.216999990865588,-75.56700001470745
Templo San Jose1,6.2939999252557755,-75.57800000533462
Terminal Del Sur,6.216601934283972,-75.59085000772029
Tesoreria Municipal Oficina CAM,6.216999990865588,-75.56700001470745
UN Deportiva Belen,6.216999990865588,-75.56700001470745
Unidad Deportiva Alejandro Echavarria,6.216999990865588,-75.56700001470745
Unidad Deportiva Jose Rene Higuita,6.296279970556498,-75.57197601534426
Unidad Deportiva La Floresta,6.216999990865588,-75.56700001470745
Unidad Deportiva Maria Luisa Calle,6.216999990865588,-75.56700001470745
Unidad Deportiva Miraflores,6.216999990865588,-75.56700001470745
Unidad Deportiva San Blas,6.216999990865588,-75.56700001470745
Unidad Deportiva Santa Inés,6.216999990865588,-75.56700001470745
Upss Castilla,6.216999990865588,-75.56700001470745
Upss Manrique,6.266910955309868,-75.56969001889229
Upss Nuevo Occidente,6.28120394423604,-75.6149800401181
Viaducto Tramo 2 Parte Alta,6.216999990865588,-75.56700001470745
WIFI JUSTICIA ROBL,6.284450925886631,-75.58709001168609
Zona Verde Arboleda,6.233936967328191,-75.62625001184642
